steps,trial_0,trial_1,trial_2,trial_3,trial_4,trial_5,trial_6,trial_7,trial_8,trial_9,trial_10,trial_11,trial_12,trial_13,trial_14,trial_15,trial_16,trial_17,trial_18,trial_19,trial_20,trial_21,trial_22,trial_23,trial_24
26315789.47368421,986.6136660311691,984.192648929242,990.8275384774169,987.459987427059,966.251710594526,967.8818776501844,984.2877545472328,983.2402528138042,989.4306766230644,987.310901562593,985.4427888548604,944.9408605534614,986.8072868919108,979.829602214438,987.257338492494,988.7112215087024,974.1987377180616,983.717351214047,984.6832474866402,987.4288951868496,984.5822664211992,987.1537816570736,986.640488716374,985.9694187195348,989.0776682785012
28947368.42105263,987.8663576681198,986.4391684695624,990.9860491993684,988.1502187217372,974.7806761862498,980.0907430833728,986.2575213597092,987.8708108008072,989.6887690329156,988.6560397934056,988.108453265848,961.7829083197664,987.1428836678205,985.6450274487612,988.9888706180858,990.5358081494672,982.046286837381,985.5757900550756,986.3426816544376,987.73177145987,987.58462621284,988.4504194025188,988.2089923886052,987.9526283800436,990.3057287209912
31578947.36842105,988.7408270234876,987.5252254372488,991.6770730124288,988.956873516627,978.6746138258324,984.7976482607982,987.343067146074,989.4254512681194,990.3868982996636,989.1526042298927,989.8962829925348,973.8092678346133,987.7924783124156,987.8106941674884,990.7316680119638,991.5055151322542,985.5555742599296,986.6738302932222,987.13094256195,988.7532982482804,987.6114003341283,988.538931690755,988.8007943861372,987.6076956627442,990.2699938091216
34210526.31578948,989.1805334467635,987.996138210607,992.5397554241388,989.8189152574936,981.297256291408,987.2888577146214,988.2757975140436,990.6287300476076,991.8980766630568,989.9608725403484,990.8688675868544,978.5082241838328,989.486546085647,988.8607253105356,990.9569676212988,992.538834888519,987.2547701646748,987.3340449729454,987.9768640465024,989.2708354387588,988.5889428596416,988.8726346968284,989.4773855752562,988.494632275316,991.019224401326
36842105.2631579,989.301603657387,989.1133903271603,992.970757108316,990.6445726149632,982.2684349369804,989.0537621836252,987.0738810822576,989.0736113149374,992.4947999735618,989.4707191403222,990.5054497164042,980.6274260751428,990.1047412619366,989.283688065418,991.7333047155528,993.2819063082296,987.940279082248,988.389607601879,988.3165130010932,990.345170719802,990.0719014396298,989.0930872092288,990.2325267071868,990.8667055761384,991.030984062237
39473684.21052632,989.1504526407434,989.5145466580284,993.3924512366178,986.3400855751248,983.7347155031736,989.652048592092,987.6744265942692,989.808446271598,992.7974079891916,989.746609105628,990.7144854957048,983.0578150265436,990.390553107222,989.4584321277292,992.3256372911778,992.4920631569508,988.6991695018686,988.4449378440256,987.70342930945,990.7610085877355,989.2637342676892,988.8725098927926,989.9815243178788,991.2755512636454,991.7050986197517
42105263.15789474,990.767922044791,988.1670214634524,993.3675024899088,988.3319280761762,985.4032350735652,990.3551574559092,989.604136303191,990.9226902330352,992.7358314535294,990.2745855917892,991.486291700453,983.5481153974242,990.882273718921,989.9401235342688,992.6274986742608,992.7371974400868,989.4285058341198,988.814921556087,988.432013627895,991.1079519488476,989.997385389587,989.9063881903144,988.9256157280664,989.756651986669,991.752117738169
44736842.10526316,990.6414518250652,990.5440540885,993.3865890785268,990.010105939453,985.0668671563722,991.6643557921672,988.9875529383688,992.2291084915978,993.1248208641016,990.6476601788212,990.6730853155708,985.8193389259876,992.3304831930476,990.2546497355538,992.1211006988118,993.148046605805,988.7584154779232,988.855784927874,989.7924290249882,991.5501279768192,991.234824956289,990.6729508940532,989.7299449065716,991.1207870718844,992.7184130752516
47368421.05263158,990.9450384873762,991.4206312759432,993.6850720894964,991.3567472214183,985.328158043098,991.4235750024008,988.3778492423636,992.8508134073168,990.412716371531,991.372341037457,991.89115393492,987.4696204857152,992.7705735129992,990.3106459148042,992.9059512106666,993.4637470298196,989.3074001876272,988.668596772606,989.602490272218,991.8338971630028,989.971057133001,991.1633776231486,990.7158026510328,991.8401722775932,992.5687547578706
50000000.0,990.6249736829808,991.7281005539392,993.857268653418,991.5315478412728,986.2715228858748,991.995682258355,989.7429599918818,992.8264960050584,991.723223570146,990.5509806745932,992.3430697761085,988.6670253182712,990.9166651085804,990.7360616828266,992.6664976258028,993.6313546205822,989.361624488705,989.2378696015006,989.7938111738156,992.1566455583824,990.6451479039694,991.6287626090802,989.9397753916288,991.4577233854092,993.0471912622452
