steps,trial_0,trial_1,trial_2,trial_3,trial_4,trial_5,trial_6,trial_7,trial_8,trial_9,trial_10,trial_11,trial_12,trial_13,trial_14,trial_15,trial_16,trial_17,trial_18,trial_19,trial_20,trial_21,trial_22,trial_23,trial_24,trial_25,trial_26,trial_27,trial_28,trial_29,trial_30,trial_31
26315789.47368421,503.7960672091249,490.9975164237115,487.3266736799,599.9666086887719,584.1809250859343,542.6843509944853,425.8129935804496,378.74925007797015,537.5761622484371,387.66184915317393,627.9170948062247,472.9944742246017,401.6391881811652,579.8323963335677,478.1761913935233,394.3477417430389,522.2487902543882,505.6676356335096,522.6655307583861,516.0932533724487,484.197138902223,436.7697415008439,307.6802082060116,529.2115931573667,479.1840060186518,563.0670399249756,203.4031878342837,627.8627796784002,363.3428089863045,595.76605236068,480.1267686963412,490.13885450429206
28947368.42105263,545.3057936438233,519.9865900015567,520.8242540367753,621.6337255123909,626.7288116916725,567.6395573576401,446.6439196552431,428.3913065204165,569.202559891665,409.6550421452258,659.0177672705162,507.8312307720039,422.9112672917235,617.9448181651636,534.2955554386915,472.4332637190819,569.668071212861,547.5524590310957,571.449522614314,543.5306305243038,519.4200100571,496.3656709453406,344.4244500900569,552.725995244577,500.8549743106491,599.1978529648768,87.01462779540846,643.0544223874559,389.4421907700495,630.0146053923794,506.4091847337514,509.4405301771336
31578947.36842105,577.0375068154692,550.7672232934312,564.3843851848983,644.5735337621948,662.3658167622426,594.2583126268889,461.9886884167584,466.4060646820597,590.9472897158436,434.0921249604292,689.5582040010067,539.509671942349,443.44778426763423,645.7318774379191,563.6048012420412,522.7350027429101,604.7939728052663,582.3721792255412,601.3857381878797,574.6903007750366,545.6717881515747,524.9510316538349,380.65043045312086,577.986813280391,517.3495427158731,636.3069651602378,285.81838129811695,672.8415059336666,408.6234021034928,657.2960016654799,535.114639968423,525.9828561858127
34210526.31578948,604.4664874834698,568.5150452855552,602.7651448330721,671.193162671747,691.0769508086413,612.4553743120376,477.2130997696907,495.0324508342221,607.480192334368,451.7575538586877,721.0702687442468,573.702967550781,464.1966879642736,672.6231271289392,592.3305565095675,551.8346732470137,639.1705243904505,608.6152029854769,620.7658966502324,601.3300589263605,564.6787901743628,545.719995741864,412.6702971619417,599.1660463913986,533.513750583016,673.4246167613198,385.3676598532709,699.9139788490913,426.4467546186124,697.4884191723412,560.9972928878013,542.2370173396166
36842105.2631579,626.2049874447059,594.0574211228918,637.0265309216244,694.2939335315842,708.0249837630344,639.720399857558,489.4139893561849,518.8988219610212,625.5217866656523,467.41234150883895,749.9604753176592,598.6579639518691,479.6423017338042,701.2365437059192,616.4833412021811,584.1330842994918,676.5798679851099,626.069147143998,626.3019062779287,628.8720403896475,588.9409159256811,564.8115964830747,441.0854366629738,619.1134970894811,556.9026455486251,710.3407634698123,424.5453718933703,715.9526358740482,448.03280661063184,735.3519753818697,582.0958293537684,556.2239708124436
39473684.21052632,642.5679650240658,613.1972458636661,670.8476874105157,724.2653071791182,734.0756853724781,664.7214136054312,507.7193042254514,539.1186335682869,636.6539806089573,491.5275239995642,765.4149209095831,620.7393439892587,501.20713436900746,714.2799296902488,631.0043879684649,606.3847304739451,710.7993930551814,652.550851013852,647.8040362979567,656.1204870486854,613.9918728768,579.513179980817,464.3907508978058,622.9912827378165,571.9083500251876,741.0728256018868,457.43183650815257,728.554516727079,460.30244383620425,761.8837390926736,597.2262641288897,575.3180092455938
42105263.15789474,668.8218032593873,620.363572007071,693.7446814085308,740.6760379442547,752.713576779141,692.7188152778182,520.2603733110295,562.6763619319884,651.4539498146881,520.4247632938078,780.5033187311442,642.2564945775716,524.0622146585312,729.3276945415296,650.7690039896239,629.777798945884,747.3339238312105,667.3950887769873,658.0213754976226,675.8949446189437,635.9039482158968,608.3915321239144,495.07874979272776,657.3676644164109,591.8275768538922,769.4395705035519,484.58116116087854,747.7474601090449,478.0173220621252,791.6810249582222,615.4803765764527,590.3049093177774
44736842.10526316,680.3896751009196,640.7606736966447,714.1726506327658,750.5811893436387,770.5402273368968,719.2266802277592,537.8847688083173,445.7831166617758,659.6235603602639,550.4823999414814,797.3096823984566,681.0188576301709,549.930878207459,735.5339116151973,668.7352782319457,653.4750502690714,771.1720412667438,679.2173235561709,678.7662931454479,677.717315093302,655.7452407603118,638.522329629128,524.1960146393308,672.3494879167496,604.6571334222347,787.6171156006177,512.1320756422846,755.7718215503851,493.7718345864658,813.7199502392489,638.4839730721761,605.0270141316913
47368421.05263158,693.1553914626219,664.3490615287316,727.9768629879833,763.7764800651582,783.4364334216078,744.0287271506899,554.3833558476863,604.8553114181741,666.5523925973438,573.0527880333798,806.3274144244656,705.5258040629595,568.4751636859783,758.8782108939586,680.5241380325645,667.3710982882085,800.0735242604549,696.5687544537383,677.0766390750283,703.5785697857099,676.9165021290079,658.2364498598093,548.1511054587166,679.9339245871494,620.1156554056997,820.8243822348085,528.0333536721332,764.592017245755,507.1989916979111,833.3890322393988,647.9986625434288,619.3672862280769
50000000.0,704.9176001486026,668.9646661940374,739.7928605267876,777.8543033568483,795.9530889893833,778.3147965732373,562.3996155418848,625.762132418783,684.6578765448771,594.5209140212912,808.1463244682864,732.8540920113262,589.5576678514481,770.7721374160365,689.4106679621495,569.2322969813096,821.4452206586536,708.7910490349719,699.1257268002158,725.0129454104524,690.5250164364513,674.4593994021416,568.320976502017,707.9865307619697,627.7539559853705,846.6216023532968,546.0919251912519,783.279954681271,526.1911429856953,853.5491278642103,673.557105136545,631.260893087638
